Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,07/31/2017,"ONLINE TRANSFER FROM CHK ...5521 TRANSACTION#: 6406770118",2000.00,ACCT_XFER, ,,
DEBIT,07/28/2017,"VENMO 855-812-4430 NY                        07/27",-26.99,DEBIT_CARD,1525.28,,
DEBIT,07/28/2017,"VENMO 855-812-4430 NY                        07/27",-36.99,DEBIT_CARD,1552.27,,
DEBIT,07/28/2017,"VENMO 855-812-4430 NY                        07/27",-40.78,DEBIT_CARD,1589.26,,
DEBIT,07/26/2017,"OFFICIAL CHECKS CHARGE",-8.00,FEE_TRANSACTION,1630.04,,
DEBIT,07/26/2017,"Transfer to SAV XXXXXX6583 07/26",-25.00,ACCT_XFER,1638.04,,
DEBIT,07/26/2017,"WITHDRAWAL 07/26",-3688.00,MISC_DEBIT,1663.04,,
CREDIT,07/26/2017,"Online Transfer from CHK ...5521 transaction#: 6395476839",2600.00,ACCT_XFER,5351.04,,
DEBIT,07/24/2017,"VENMO 855-812-4430 NY                        07/21",-300.00,DEBIT_CARD,2751.04,,
DEBIT,07/19/2017,"COCA COLA SAN DIEGO CA SAN DIEGO CA          07/18",-1.75,DEBIT_CARD,3051.04,,
CREDIT,07/12/2017,"Online Transfer from CHK ...5521 transaction#: 6361199132",100.00,ACCT_XFER,3052.79,,
CREDIT,07/12/2017,"U.C. SAN DIEGO   UCSD APACH                 PPD ID: 3956006144",2500.00,ACH_CREDIT,2952.79,,
DEBIT,07/10/2017,"VENMO 855-812-4430 NY                        07/08",-200.00,DEBIT_CARD,452.79,,
DEBIT,07/10/2017,"VENMO 855-812-4430 NY                        07/08",-100.00,DEBIT_CARD,652.79,,
CREDIT,07/10/2017,"Online Transfer from CHK ...5521 transaction#: 6357929338",50.00,ACCT_XFER,752.79,,
DEBIT,07/07/2017,"Online Transfer to CHK ...5521 transaction#: 6353305296 07/07",-1000.00,ACCT_XFER,702.79,,
CREDIT,07/07/2017,"Online Transfer from CHK ...5521 transaction#: 6353300886",1300.00,ACCT_XFER,1702.79,,
DEBIT,07/06/2017,"La Jolla Village Smile 858-2722260 CA        07/05",-115.90,DEBIT_CARD,402.79,,
DEBIT,07/06/2017,"VENMO 855-812-4430 NY                        07/05",-105.00,DEBIT_CARD,518.69,,
DEBIT,07/05/2017,"VENMO 855-812-4430 NY                        07/04",-450.00,DEBIT_CARD,623.69,,
CREDIT,07/05/2017,"Online Transfer from CHK ...5521 transaction#: 6342525394",450.00,ACCT_XFER,1073.69,,
DEBIT,07/03/2017,"GOOGLE *YouTube Red 855-836-3987 CA          07/01",-9.99,DEBIT_CARD,623.69,,
DEBIT,06/30/2017,"VENMO 855-812-4430 NY                        06/29",-10.00,DEBIT_CARD,633.68,,
DEBIT,06/30/2017,"VENMO 855-812-4430 NY                        06/29",-40.00,DEBIT_CARD,643.68,,
CREDIT,06/28/2017,"U.C. SAN DIEGO   UCSD PAYRL                 PPD ID: 1956006144",271.67,ACH_CREDIT,683.68,,
DEBIT,06/27/2017,"Regents of UC    QuikPAY EP 374426481       WEB ID: 1364199567",-1259.92,ACH_DEBIT,412.01,,
DEBIT,06/27/2017,"RALPHS    8657 VIL LA LA JOLLA CA            06/26",-4.84,DEBIT_CARD,1671.93,,
DEBIT,06/26/2017,"VENMO 855-812-4430 NY                        06/25",-2.50,DEBIT_CARD,1676.77,,
CREDIT,06/26/2017,"VENMO            CASHOUT                    PPD ID: 5264681992",363.30,ACH_CREDIT,1679.27,,
CREDIT,06/26/2017,"Online Transfer from CHK ...5521 transaction#: 6320894620",1000.00,ACCT_XFER,1315.97,,
DEBIT,06/23/2017,"KUNG FU TEA - SAN DIEGO SAN DIEGO CA         06/22",-5.94,DEBIT_CARD,315.97,,
